date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:08:22	205605/205605	---M--	200	added ('OK')	application/pdf	etag:%2232325-5b049eb14d7a6%22	https://covid.gov.pk/new_guidelines/27September2020_20200926_Guidelines_for_Contact_Sports_in_wake_of_COVID_19_4901.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/27September2020_20200926_Guidelines_for_Contact_Sports_in_wake_of_COVID_19_4901.pdf	(from https://covid.gov.pk/guideline)
05:08:22	71768/71768	---M--	200	added ('OK')	image/jpeg	etag:%2211858-5aeee82518f85%22	https://covid.gov.pk/new_guidelines/image/10September2020_20200909_Guidelines_for_Clinical_Management_of_COVID19_in_Pregnancy_2102.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/10September2020_20200909_Guidelines_for_Clinical_Management_of_COVID19_in_Pregnancy_2102.jpg	(from https://covid.gov.pk/guideline)
05:08:22	84729/84729	---M--	200	added ('OK')	image/jpeg	etag:%2214af9-5af66e6774296%22	https://covid.gov.pk/new_guidelines/image/16September2020_20200909_Health_Guidelines_for_Education_Institutions_Reopening_during_COVID_19_Pandemic_3603.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/16September2020_20200909_Health_Guidelines_for_Education_Institutions_Reopening_during_COVID_19_Pandemic_3603.jpg	(from https://covid.gov.pk/guideline)
05:08:24	89973/89973	---M--	200	added ('OK')	image/jpeg	etag:%2215f75-5ae24dc7058e0%22	https://covid.gov.pk/new_guidelines/image/31August2020_20200830_Guidelines_for_Domestic_Air_Travel_2903.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/31August2020_20200830_Guidelines_for_Domestic_Air_Travel_2903.jpg	(from https://covid.gov.pk/guideline)
05:08:24	106874/106874	---M--	200	added ('OK')	application/pdf	etag:%221a17a-5ae24dc7058e0%22	https://covid.gov.pk/new_guidelines/31August2020_20200830_Guidelines_for_Domestic_Air_Travel_2903.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/31August2020_20200830_Guidelines_for_Domestic_Air_Travel_2903.pdf	(from https://covid.gov.pk/guideline)
05:08:25	120846/120846	---M--	200	added ('OK')	image/jpeg	etag:%221d80e-5ad78370ff893%22	https://covid.gov.pk/new_guidelines/image/22August2020_20200724_Guidelines_for_Mass_Gatherings_for_Moharram_Majlis_and_Processions_01.JPG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/22August2020_20200724_Guidelines_for_Mass_Gatherings_for_Moharram_Majlis_and_Processions_01.jpg	(from https://covid.gov.pk/guideline)
05:08:25	140020/140020	---M--	200	added ('OK')	image/png	etag:%22222f4-5acbcd64376db%22	https://covid.gov.pk/new_guidelines/image/13August2020_reopining-spas.png	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/13August2020_reopining-spas.png	(from https://covid.gov.pk/guideline)
05:08:26	195625/195625	---M--	200	added ('OK')	application/pdf	etag:%222fc29-5ad78370ff893%22	https://covid.gov.pk/new_guidelines/22August2020_20200724_Guidelines_for_Mass_Gatherings_for_Moharram_Majlis_and_Processions_01.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/22August2020_20200724_Guidelines_for_Mass_Gatherings_for_Moharram_Majlis_and_Processions_01.pdf	(from https://covid.gov.pk/guideline)
05:08:26	186912/186912	---M--	200	added ('OK')	application/pdf	etag:%222da20-5acbcd64376db%22	https://covid.gov.pk/new_guidelines/13August2020_20200812_Guidelines_for_Spas,_Beauty_Saloons_and_Hair_Dressing_Saloons_during_Covid-19_4701.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/13August2020_20200812_Guidelines_for_Spas,_Beauty_Saloons_and_Hair_Dressing_Saloons_during_Covid-19_4701.pdf	(from https://covid.gov.pk/guideline)
05:08:27	141905/141905	---M--	200	added ('OK')	image/png	etag:%2222a51-5acbe69781595%22	https://covid.gov.pk/new_guidelines/image/13August2020_repening-32434234.png	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/13August2020_repening-32434234.png	(from https://covid.gov.pk/guideline)
05:08:27	977533/977533	---M--	200	added ('OK')	application/pdf	etag:%22eea7d-5af66e6774296%22	https://covid.gov.pk/new_guidelines/16September2020_20200909_Health_Guidelines_for_Education_Institutions_Reopening_during_COVID_19_Pandemic_3603.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/16September2020_20200909_Health_Guidelines_for_Education_Institutions_Reopening_during_COVID_19_Pandemic_3603.pdf	(from https://covid.gov.pk/guideline)
05:08:29	124480/124480	---M--	200	added ('OK')	image/png	etag:%221e640-5acbcce02e8be%22	https://covid.gov.pk/new_guidelines/image/13August2020_reopening-shrines.png	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/13August2020_reopening-shrines.png	(from https://covid.gov.pk/guideline)
05:08:30	205191/205191	---M--	200	added ('OK')	application/pdf	etag:%2232187-5acbe69781595%22	https://covid.gov.pk/new_guidelines/13August2020_20200812_Guidelines_for_Resumption_of_Sports_4601.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/13August2020_20200812_Guidelines_for_Resumption_of_Sports_4601.pdf	(from https://covid.gov.pk/guideline)
05:08:30	131212/131212	---M--	200	added ('OK')	image/png	etag:%222008c-5acbc38035905%22	https://covid.gov.pk/new_guidelines/image/13August2020_reopinging-parks.PNG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/13August2020_reopinging-parks.png	(from https://covid.gov.pk/guideline)
05:08:30	185384/185384	---M--	200	added ('OK')	application/pdf	etag:%222d428-5acbcce02e8be%22	https://covid.gov.pk/new_guidelines/13August2020_20200811_Guidelines_for_Mass_Gatherings_at_Shrines_and_Urs_4401.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/13August2020_20200811_Guidelines_for_Mass_Gatherings_at_Shrines_and_Urs_4401.pdf	(from https://covid.gov.pk/guideline)
05:08:30	1864962/1864962	---M--	200	added ('OK')	application/pdf	etag:%221c7502-5aeee82519f25%22	https://covid.gov.pk/new_guidelines/10September2020_20200909_Guidelines_for_Clinical_Management_of_COVID19_in_Pregnancy_2102.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/10September2020_20200909_Guidelines_for_Clinical_Management_of_COVID19_in_Pregnancy_2102.pdf	(from https://covid.gov.pk/guideline)
05:08:31	184977/184977	---M--	200	added ('OK')	application/pdf	etag:%222d291-5acbc38035905%22	https://covid.gov.pk/new_guidelines/13August2020_20200810_Guidelines_for_reopening_of_Parks,_Playgrounds_&_Recreational_Facilities_4201.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/13August2020_20200810_Guidelines_for_reopening_of_Parks,_Playgrounds_&_Recreational_Facilities_4201.pdf	(from https://covid.gov.pk/guideline)
05:08:31	125354/125354	---M--	200	added ('OK')	image/png	etag:%221e9aa-5acbcc7156f4a%22	https://covid.gov.pk/new_guidelines/image/13August2020_reopening-theaters.png	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/13August2020_reopening-theaters.png	(from https://covid.gov.pk/guideline)
05:08:32	118930/118930	---M--	200	added ('OK')	image/png	etag:%221d092-5ac827fe0cc28%22	https://covid.gov.pk/new_guidelines/image/10August2020_food-estab.PNG	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/image/10August2020_food-estab.png	(from https://covid.gov.pk/guideline)
05:08:32	192715/192715	---M--	200	added ('OK')	application/pdf	etag:%222f0cb-5acbcc7156f4a%22	https://covid.gov.pk/new_guidelines/13August2020_20200810_Guidelines_for_Reopening_of_Cinemas_&_Theaters_4301.pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/13August2020_20200810_Guidelines_for_Reopening_of_Cinemas_&_Theaters_4301.pdf	(from https://covid.gov.pk/guideline)
05:08:32	100295/100295	---M--	200	added ('OK')	application/pdf	etag:%22187c7-5ac827fe0cc28%22	https://covid.gov.pk/new_guidelines/10August2020_20200808_Guidelines_for__Reopening_of_Food_Establishments_Restaurants_4101_(1).pdf	C:/My%20Web%20Sites/test/covid.gov.pk/new_guidelines/10August2020_20200808_Guidelines_for__Reopening_of_Food_Establishments_Restaurants_4101_(1).pdf	(from https://covid.gov.pk/guideline)
